period	year	title	text
1791 – 1945: The First Activists	1920	The Covenant of the League of Nations formally creates the League of Nations.	 o Article 23 of the Covenant recognises women’s right to “fair and humane conditions of labour” and the problem of human trafficking specifically for women and children.
1791 – 1945: The First Activists	1928	The Sixth International Conference of American States in Havana, Cuba, establishes the Inter-American Commission of Women – the first inter-governmental body dedicated to the recognition of women’s rights.
1791 – 1945: The First Activists	1932	Women successfully demand the right to attend meetings, access official documents, distribute their statements and interact with state delegates at the League of Nations World Disarmament Conference.
1791 – 1945: The First Activists	1933	Sigmund Freud publishes ‘The Psychology of Women’.	“Throughout the ages, the problem of woman has puzzled people of every kind – you too will have pondered over this question insofar as you are men. From the women among you that is not to be expected, for you are the riddle yourselves.”
1791 – 1945: The First Activists	1937	The League of Nations establishes the Committee of Experts on the Legal Status of Women, predecessor to the Commission on the Status of Women (1946)
1791 – 1945: The First Activists	1944	Huda Shaarawi organises the first Arab Feminist Conference in Cairo, Egypt.
1791 – 1945: The First Activists	1944	Helene Deutsch, a student of Sigmund Freud, publishes ‘The Psychology of Women Vol. 1’ where she outlines the ‘feminine core’ or “the foundations of the feminine personality”: narcissism, passivity and masochism.
1945 – 1962: Securing the Legal Foundations of Women’s Rights	1945	Charter of the United Nations is signed by delegates in San Francisco, California at the conclusion of the United Nations Conference on International Organisation and enters into force later that year in October. Only 4 of the 26 signatories are women. 	"We the peoples of the United Nations determined to reaffirm faith in fundamental human rights, in the dignity and worth of the human person, in the equal rights of men and women and of nations large and small…"
1945 – 1962: Securing the Legal Foundations of Women’s Rights	1946	Economic and Social Council of the United Nations establishes the Commission on Human Rights, replaced by the Human Rights Council in 2006.
1945 – 1962: Securing the Legal Foundations of Women’s Rights	1946	Economic and Social Council of the United Nations establishes Commission on the Status of Women (CSW) to promote gender equality and the empowerment of women (ECOSOC Resolution 11)	Against the wishes of women at the United Nations Conference on International Organisation, the CSW was originally established as a sub-commission under the authority of Commission on Human Rights. The first chair of Sub-Commission on the Status of Women, Bodil Begtrup of Denmark, successfully pushed through a resolution that made the CSW an independent body.
1945 – 1962: Securing the Legal Foundations of Women’s Rights	1948	On 10 December 1948 the Universal Declaration of Human Rights is adopted – Article 2 recognises that regardless of sex, everyone is guaranteed equal rights and freedoms.	“I am very proud to have been instrumental in changing the name of the Declaration of the ‘Rights of Men’ to the Declaration of Human Rights.” Minerva Bernardino of the Dominican Republic, one of the four women who signed the Charter of the United Nations
1945 – 1962: Securing the Legal Foundations of Women’s Rights	1960	The President of the Dominican Republic orders the assassination of political activists and sisters, Patria, Minerva and Maria Teresa Mirabal.	Interested in learning more? Watch the documentary film ‘Code Name: Butterflies’ (2008)…this date later becomes International Day for the Elimination of Violence against Women.
1945 – 1962: Securing the Legal Foundations of Women’s Rights	1967	The Declaration on the Elimination of Discrimination against Women is accepted by the United Nations General Assembly, demanding states take steps to eliminate harmful beliefs about the inferiority of women.
1945 – 1962: Securing the Legal Foundations of Women’s Rights	1972	The wife of Japanese Nobel Peace Prize nominee, Eisako Sato, speaks to the press about her relationship with her husband: “Yes, he is a good husband. He only beats me once a week.”	 ….Despite the public accusation, Eisako Sato is awarded the Nobel Peace Prize later that year.
1945 – 1962: Securing the Legal Foundations of Women’s Rights	1974	The president of the Women’s International Democratic Federation, Hertta Kuusinen of Finland, proposes the “International Women’s Year” (1975) to the Commission on the Status of Women.
1962 – 1975: Recognising Women’s Role in Development	1920	Organisation of the League of Nations is formed	 “The time has now come to move from the national to the international and to endeavour to obtain by international agreement what national legislation has failed to accomplish” Vera Brittain
1975-1985: UN Decade for Women	1920	Organisation of the League of Nations is formed	 “The time has now come to move from the national to the international and to endeavour to obtain by international agreement what national legislation has failed to accomplish” – Vera Brittain
1986 – 1995: Towards Equality, Development and Peace	1920	Organisation of the League of Nations is formed	 “The time has now come to move from the national to the international and to endeavour to obtain by international agreement what national legislation has failed to accomplish” – Vera Brittain
1995 – Present: Women’s Empowerment, Justice and Sustainable Development 	1920	Organisation of the League of Nations is formed	 “The time has now come to move from the national to the international and to endeavour to obtain by international agreement what national legislation has failed to accomplish” – Vera Brittain
